nvidia_code,nvidia_version,nvidia_display_name,nvidia_description,nvidia_capability,nvidia_compatibility,nvidia_tags,proposed_capability_id,pixar_overlap_type,pixar_validator,pixar_overlap_notes
AA.001,1.0.0,anchored-asset-paths,Asset references should use anchored paths,atomic_asset,core-usd,essential,com.nvidia.simready.asset.anchored-asset-paths,none,,
AA.002,1.0.0,supported-file-types,Asset must use only supported file types,atomic_asset,open-usd,essential,com.nvidia.simready.asset.supported-file-types,overlap,usdUtilsValidators:FileExtensionValidator,supported file types
AA.003,1.0.0,portable-asset-paths,Asset paths should use forward slashes for cross-platform portability,atomic_asset,core-usd,essential,com.nvidia.simready.asset.portable-asset-paths,none,,
AA.OV.001,1.0.0,ov-usdz-udim-limitation,Texture UDIMs are not supported in USDZ files in NVIDIA Omniverse,atomic_asset,kit,limitation,com.nvidia.simready.asset.ov-usdz-udim-limitation,none,,
DC.001,1.0.0,dense-caption-capability,The Root Prim must inlcude documentation metadata that describes the 3D Asset.,dense_captions,core-usd,essential,com.nvidia.simready.captions.dense-caption-capability,none,,
DC.002,1.0.0,additional-dense-captions,Prims representing sub-objects or parts within the asset should be documented with additional dense captions.,dense_captions,core-usd,high-quality,com.nvidia.simready.captions.additional-dense-captions,none,,
VG.002,1.0.0,usdgeom-extent,Boundable geometry primitives should have valid extent values.,geometry,open-usd,performance,com.nvidia.simready.geom.usdgeom-extent,partial,usdGeomValidators:StageMetadataChecker,extents; no dedicated Pixar extent validator
VG.003,1.0.0,usdgeom-mesh-internal-geometry,Only include geometry that contributes to visualization or simulation,geometry,open-usd,performance,com.nvidia.simready.geom.usdgeom-mesh-internal-geometry,none,,
VG.004,1.0.0,usdgeom-mesh-empty-spaces,Use efficient mesh boundaries for performance,geometry,rtx,performance,com.nvidia.simready.geom.usdgeom-mesh-empty-spaces,none,,
VG.005,1.0.0,usdgeom-boundable-size,Meshes should maintain appropriate scale and boundary volumes,geometry,rtx,performance,com.nvidia.simready.geom.usdgeom-boundable-size,none,,
VG.006,1.0.0,usdgeom-mesh-overlap,Meshes should not overlap unnecessarily,geometry,core-usd,performance,com.nvidia.simready.geom.usdgeom-mesh-overlap,none,,
VG.007,1.0.0,usdgeom-mesh-manifold,Mesh geometry must be manifold,geometry,core-usd,correctness,com.nvidia.simready.geom.usdgeom-mesh-manifold,none,,
VG.008,1.0.0,usdgeom-mesh-coincident,Meshes should not share the exact same space,geometry,core-usd,performance,com.nvidia.simready.geom.usdgeom-mesh-coincident,none,,
VG.009,1.0.0,usdgeom-mesh-primvar-indexing,Use indexed primvars when values are repeated,geometry,core-usd,performance,com.nvidia.simready.geom.usdgeom-mesh-primvar-indexing,none,,
VG.010,1.0.0,usdgeom-mesh-subdivision,Do not subdivide meshes with Normals.,geometry,core-usd,performance,com.nvidia.simready.geom.usdgeom-mesh-subdivision,none,,
VG.011,1.0.0,usdgeom-mesh-primvar-usage,Only include primvars that are actively used,geometry,core-usd,performance,com.nvidia.simready.geom.usdgeom-mesh-primvar-usage,none,,
VG.012,1.0.0,usdgeom-mesh-small,Remove meshes from the scene that are below the extent size threshold.,geometry,core-usd,performance,com.nvidia.simready.geom.usdgeom-mesh-small,none,,
